赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2024-2025,,Indiana,Pacers,Dariq,Whitehead,
2023-2024,,Orlando,Magic,Freddie,Gilmore,
2023-2024,,Denver,Nuggets,Ausar,Thompson,
2023-2024,,Memphis,Grizzlies,Marvin,Finley,
2023-2024,,Portland,Trail Blazers,Olivier-Maxence,Prosper,
2022-2023,,Boston,Celtics,Malaki,Branham,
2022-2023,,Minnesota,Timberwolves,Desmond,Bane,
2022-2023,,Indiana,Pacers,Bob,Landry,
2022-2023,,Orlando,Magic,David,Reece,
2022-2023,,Boston,Celtics,Shaedon,Sharpe,
2021-2022,,Oklahoma City,Thunder,Jonathan,Kuminga,
2021-2022,,Brooklyn,Nets,Alperen,Sengun,
2021-2022,,Minnesota,Timberwolves,Franz,Wagner,
2021-2022,,Miami,Heat,Jeremiah,Robinson-Earl,
2021-2022,,Portland,Trail Blazers,Chris,Duarte,
2020-2021,,Houston,Rockets,Malachi,Flynn,
2020-2021,,Minnesota,Timberwolves,Tyrese,Haliburton,
2020-2021,,Sacramento,Kings,Cole,Anthony,
2020-2021,,Washington,Wizards,Isaac,Okoro,
2020-2021,,Portland,Trail Blazers,Precious,Achiuwa,
2019-2020,,San Antonio,Spurs,P.J.,Washington,
2019-2020,,New York,Knicks,De'Andre,Hunter,
2019-2020,,Brooklyn,Nets,Jarrett,Culver,
2019-2020,,Minnesota,Timberwolves,Tyler,Herro,
2019-2020,,Denver,Nuggets,Matisse,Thybulle,
2018-2019,,Boston,Celtics,Mohamed,Bamba,
2018-2019,,Minnesota,Timberwolves,Marvin,Bagley III,
2018-2019,,Philadelphia,76ers,Álex,Allen,
2018-2019,,Orlando,Magic,Jae'Sean,Tate,
2018-2019,,Atlanta,Hawks,Henry,Ellenson,
2017-2018,,Minnesota,Timberwolves,John,Collins,
2017-2018,,Denver,Nuggets,Kyle,Kuzma,
2017-2018,,Orlando,Magic,Donovan,Mitchell,
