赛季,球队标志,球队城市,球队名称,名字,姓氏
2024-2025,,Denver,Nuggets,Ausar,Thompson
2023-2024,,Dallas,Mavericks,Jabari,Smith Jr.
2022-2023,,Portland,Trail Blazers,Precious,Achiuwa
2021-2022,,Milwaukee,Bucks,Kevin,Porter Jr.
2020-2021,,Cleveland,Cavaliers,R.J.,Barrett
2019-2020,,Washington,Wizards,Jamie,Newman
2018-2019,,Phoenix,Suns,Dejounte,Murray
2017-2018,,Milwaukee,Bucks,Jamal,Murray
2016-2017,,Houston,Rockets,Myles,Turner
2015-2016,,Phoenix,Suns,C.J.,McCollum
2014-2015,,Phoenix,Suns,Pape,Sy
2013-2014,,Philadelphia,76ers,Kemba,Walker
2012-2013,,Dallas,Mavericks,Klay,Thompson
2011-2012,,Indiana,Pacers,George,Hill
2010-2011,,New Orleans,Hornets,Stephen,Curry
2009-2010,,New York,Knicks,Russell,Westbrook
2008-2009,,Washington,Wizards,Mike,Conley
2007-2008,,Los Angeles,Clippers,Sasha,Vujacic
2006-2007,,Boston,Celtics,Travis,Oliver
2005-2006,,Portland,Trail Blazers,Luol,Deng
2004-2005,,Los Angeles,Lakers,Leandro,Barbosa
2003-2004,,Golden State,Warriors,Mike,Dunleavy Jr.
2002-2003,,Cleveland,Cavaliers,Zydrunas,Ilgauskas
2001-2002,,Indiana,Pacers,Jermaine,O'Neal
2000-2001,,Orlando,Magic,Tracy,McGrady
1999-2000,,Indiana,Pacers,Jalen,Rose
1998-1999,,Orlando,Magic,Darrell,Armstrong
1997-1998,,Atlanta,Hawks,Alan,Henderson
1996-1997,,Miami,Heat,Isaac,Austin
1995-1996,,Washington,Bullets,Gheorghe,Muresan
1994-1995,,Philadelphia,76ers,Dana,Barros
1993-1994,,Washington,Bullets,Don,MacLean
1992-1993,,Denver,Nuggets,Mahmoud,Abdul-Rauf
1991-1992,,Washington,Bullets,Pervis,Ellison
1990-1991,,Orlando,Magic,Scott,Skiles
1989-1990,,Miami,Heat,Rony,Seikaly
1988-1989,,Phoenix,Suns,Kevin,Johnson
1987-1988,,Portland,Trail Blazers,Kevin,Duckworth
1986-1987,,Seattle,SuperSonics,Dale,Ellis
1985-1986,,San Antonio,Spurs,Alvin,Robertson
