赛季,球队标志,球队城市,球队名称,名字,姓氏,位置
2021-2022,,Milwaukee,Bucks,Ben,Simmons,
2021-2022,,Denver,Nuggets,Russell,Westbrook,
2021-2022,,Golden State,Warriors,Anthony,Davis,
2021-2022,,Golden State,Warriors,Kawhi,Leonard,
2021-2022,,Detroit,Pistons,Karl-Anthony,Towns,
2020-2021,,Chicago,Bulls,Lonzo,Ball,
2020-2021,,Phoenix,Suns,Dejounte,Murray,
2020-2021,,New Orleans,Pelicans,Kevin,Durant,
2020-2021,,Portland,Trail Blazers,DeMarre,Carroll,
2020-2021,,Atlanta,Hawks,DeMarcus,Cousins,
2019-2020,,Chicago,Bulls,Lonzo,Ball,
2019-2020,,Denver,Nuggets,Russell,Westbrook,
2019-2020,,New Orleans,Pelicans,Kevin,Durant,
2019-2020,,Portland,Trail Blazers,DeMarre,Carroll,
2019-2020,,Utah,Jazz,Andre,Drummond,
2018-2019,,Milwaukee,Bucks,Ben,Simmons,
2018-2019,,Indiana,Pacers,James,Harden,
2018-2019,,Portland,Trail Blazers,DeMarre,Carroll,
2018-2019,,Miami,Heat,LeBron,James,
2018-2019,,Utah,Jazz,Andre,Drummond,
2017-2018,,Portland,Trail Blazers,Dwyane,Wade,
2017-2018,,Milwaukee,Bucks,Ben,Simmons,
2017-2018,,Miami,Heat,LeBron,James,
2017-2018,,Miami,Heat,Chris,Bosh,
2017-2018,,Utah,Jazz,Andre,Drummond,
2016-2017,,Los Angeles,Lakers,Kobe,Bryant,
2016-2017,,Dallas,Mavericks,Klay,Thompson,
2016-2017,,Portland,Trail Blazers,DeMarre,Carroll,
2016-2017,,Golden State,Warriors,Anthony,Davis,
2016-2017,,Phoenix,Suns,Joel,Embiid,
2015-2016,,Los Angeles,Lakers,Chris,Paul,
2015-2016,,Los Angeles,Lakers,Kobe,Bryant,
2015-2016,,Detroit,Pistons,Pau,Gasol,
2015-2016,,New York,Knicks,Andrea,Bargnani,
2015-2016,,Oklahoma City,Thunder,Dwight,Howard,
2014-2015,,Los Angeles,Lakers,Kobe,Bryant,
2014-2015,,Los Angeles,Lakers,Chris,Paul,
2014-2015,,New Orleans,Pelicans,Kevin,Durant,
2014-2015,,New York,Knicks,Andrea,Bargnani,
2014-2015,,Cleveland,Cavaliers,Joakim,Noah,
2013-2014,,Los Angeles,Lakers,Chris,Paul,
2013-2014,,Los Angeles,Lakers,Kobe,Bryant,
2013-2014,,New York,Knicks,Andrea,Bargnani,
2013-2014,,New Orleans,Pelicans,Kevin,Durant,
2013-2014,,Philadelphia,76ers,Ming,Yao,
2012-2013,,Los Angeles,Lakers,Chris,Paul,
2012-2013,,Brooklyn,Nets,Paul,George,
2012-2013,,Utah,Jazz,Andrei,Kirilenko,
2012-2013,,New York,Knicks,Andrea,Bargnani,
2012-2013,,Philadelphia,76ers,Ming,Yao,
2011-2012,,Los Angeles,Lakers,Chris,Paul,
2011-2012,,Atlanta,Hawks,Brandon,Roy,
2011-2012,,Chicago,Bulls,Chris,Bosh,
2011-2012,,Los Angeles,Clippers,Elton,Brand,
2011-2012,,Oklahoma City,Thunder,Dwight,Howard,
2010-2011,,Indiana,Pacers,Ron,Artest,
2010-2011,,Atlanta,Hawks,Brandon,Roy,
2010-2011,,Los Angeles,Clippers,Elton,Brand,
2010-2011,,New York,Knicks,Andrea,Bargnani,
2010-2011,,Milwaukee,Bucks,Greg,Oden,
2009-2010,,Los Angeles,Lakers,Kobe,Bryant,
2009-2010,,Charlotte,Bobcats,Brandon,Roy,
2009-2010,,Los Angeles,Clippers,Elton,Brand,
2009-2010,,New Orleans,Hornets,Kevin,Durant,
2009-2010,,Philadelphia,76ers,Marc,Gasol,
2008-2009,,Charlotte,Bobcats,Brandon,Roy,
2008-2009,,Indiana,Pacers,Ron,Artest,
2008-2009,,San Antonio,Spurs,Tim,Duncan,
2008-2009,,Chicago,Bulls,Chris,Bosh,
2008-2009,,Detroit,Pistons,Ben,Wallace,
2007-2008,,Indiana,Pacers,Ron,Artest,
2007-2008,,Charlotte,Bobcats,Brandon,Roy,
2007-2008,,Los Angeles,Clippers,Elton,Brand,
2007-2008,,Chicago,Bulls,Chris,Bosh,
2007-2008,,Detroit,Pistons,Ben,Wallace,
2006-2007,,Indiana,Pacers,Ron,Artest,
2006-2007,,New Jersey,Nets,Jason,Kidd,
2006-2007,,Los Angeles,Clippers,Elton,Brand,
2006-2007,,San Antonio,Spurs,Shawn,Marion,
2006-2007,,Memphis,Grizzlies,Chris,Kaman,
2005-2006,,New Jersey,Nets,Jason,Kidd,
2005-2006,,Indiana,Pacers,Ron,Artest,
2005-2006,,Minnesota,Timberwolves,Kevin,Garnett,
2005-2006,,Phoenix,Suns,Amar'e,Stoudemire,
2005-2006,,Houston,Rockets,Ming,Yao,
2004-2005,,Portland,Trail Blazers,Dwyane,Wade,
2004-2005,,New Jersey,Nets,Jason,Kidd,
2004-2005,,Utah,Jazz,Andrei,Kirilenko,
2004-2005,,Los Angeles,Clippers,Elton,Brand,
2004-2005,,Seattle,SuperSonics,Dwight,Howard,
2003-2004,,New Jersey,Nets,Jason,Kidd,
2003-2004,,Portland,Trail Blazers,Dwyane,Wade,
2003-2004,,Utah,Jazz,Andrei,Kirilenko,
2003-2004,,Minnesota,Timberwolves,Kevin,Garnett,
